凸予約シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,ボス番号,ボス名,予想ダメージ,備考
1,759140538678509648,759140546424995870,smicle(スマイル),e,グラットン,1000,物理
1,759141893006557247,759141901684965406,きむら,e,グラットン,1000,物理
1,759142012229910580,759142020580376626,ゼロ(せらの),d,ダークガーゴイル,1100,ニャル
1,759147540229914624,759147549259989013,なもで,b,ライライ,ワンパン,
1,759150275344072756,759150285221789776,smicle(スマイル),c,レイスロード,ワンパン,
1,759152979252215858,759152987419050014,なもで,a,ゴブリングレート,ワンパン,
1,759158906647347210,759158914360541224,あんこうもち,b,ライライ,ワンパン,
1,759158919925989437,759158933091778630,水乃宮,d,ダークガーゴイル,ワンパン,魔法
1,759159095881236480,759159102910890065,水乃宮,e,グラットン,1100万,物理
1,759166469929566229,759166477130924052,SAMURAI,c,レイスロード,ワンパン,ニャル
1,759168972393414697,759168979868188714,なもで,b,ライライ,ワンパン物理,30s前後
1,759235224029888523,759235232422952960,ゼロ(せらの),a,ゴブリングレート,ワンパン,物理
1,759235294255644725,759235303101169734,ゼロ(せらの),b,ライライ,ワンパン,物理
1,759238301466492929,759238308974297088,まっち,e,グラットン,1000-1100,物理
1,759247695033663509,759247702214049812,あゔぁろん,c,レイスロード,ワンパン,魔法
1,759251669657059369,759251676740845618,りゅーせん,a,ゴブリングレート,持ち越し分でワンパン,物理
1,759252958692507648,759252965563039764,まっち,d,ダークガーゴイル,1350ーワンパン,魔法
1,759254670823784460,759254677451178016,あゔぁろん,e,グラットン,150,持ち越し
1,759255619034677308,759255625590505473,まっち,c,レイスロード,レイスロード,ワンパン
1,759266749035708428,759266754718859265,あゔぁろん,e,グラットン,1000,物理
1,759279989178236949,759279997696475148,Canon,c,レイスロード,1050,魔法
1,759289726254710794,759289732764663830,Canon,a,ゴブリングレート,ワイバーン,物理
1,759289762305146880,759289768256733194,Canon,b,ライライ,グリフォン,物理
1,759297690558660638,759297697651621908,まろ,e,グラットン,グラ,物理
1,759300677448499212,759300684419301387,いもちゃ,e,グラットン,グラットン,600上振れ700
1,759301887517392896,759301894777995264,Canon,c,レイスロード,ワンパン,
1,759317320165490699,759317326931165197,りゅーせん,c,レイスロード,ニャル,ワンパン
1,759340774759858207,759340782581841940,やさい,d,ダークガーゴイル,ニャル,ワンパン
1,759354540650397726,759354547713474590,いせ,a,ゴブリングレート,物理,ワンパン
1,759354648011997224,759354655867666443,いせ,b,ライライ,物理,ワンパン
1,759359970733981703,759359978259218452,たかや@基本フルオート希望,d,ダークガーゴイル,ニャル,ワンパン
1,759369147388919808,759369153948942356,れい,e,グラットン,1000,
1,759375214366294038,759375221190295553,ひのきのぼう,e,グラットン,物理,800
1,759375268389060608,759375275770511401,ユッシー,d,ダークガーゴイル,物理,900
1,759378404943593505,759378412510380042,たかや@基本フルオート希望,d,ダークガーゴイル,物理,1100
1,759378490477903882,759378496610238485,ショウ,c,レイスロード,ニャル,ワンパン
1,759378822696271912,759378829600489523,たかや@基本フルオート希望,e,グラットン,物理,900
1,759384673523597322,759384680431747102,ひのきのぼう,e,グラットン,純魔法850万,
1,759389856311803914,759389863916470304,いせ,d,ダークガーゴイル,キャル,手動
1,759393613590822963,759393621433909269,あんこうもち,c,レイスロード,,36s物理端数＋2凸目ニャル
1,759399685105778728,759399691850612787,れい,e,グラットン,900,
1,759401389775913021,759401397409546250,sakadaka,e,グラットン,100+950,持ち越しと２凸目
1,759405824854196244,759405832659664957,sakadaka,a,ゴブリングレート,5の持ち越しと３凸目,
1,759405970249220107,759405977014501407,sakadaka,b,ライライ,3凸の持ち越しでワンパン,
1,759406925112148028,759406932321632286,ショウ,c,レイスロード,ニャルリベンジ,
1,759408900415160350,759408907461984387,まろ,e,グラットン,持ち越し,グラ
1,759412507236106241,759412515767189515,ふみと,d,ダークガーゴイル,1200万くらい,
1,759413670706675723,759413677769752677,ひのきのぼう,e,グラットン,持ち越し170,
1,759415701470445610,759415708848750602,ユッシー,d,ダークガーゴイル,ニャル,手動
1,759418874893434892,759418881327890502,あんこうもち,a,ゴブリングレート,,ゴブリン2凸端数＋3凸ワンパン→ライライ300万
1,759419707304050709,759419713758560348,ふみと,b,ライライ,700万くらい,
1,759421228821119036,759421235720486943,ふみと,c,レイスロード,1200万くらい,
1,759423595033133077,759423602197266433,れい,e,グラットン,750,
1,759425541597167666,759425549428588544,ジャハド,c,レイスロード,にゃるワンパン,
1,759461489110286356,759461495339221043,ハヤテ,a,ゴブリングレート,1000万,
1,759492694031990825,759492701871276053,ハヤテ,d,ダークガーゴイル,1100,
,759505896417787944,759505903585198122,名無し(りえりー),c,レイスロード,500~1900,
1,759505956173774890,759505963392434226,smicle(スマイル),d,ダークガーゴイル,1000,
1,759506001853677598,759506008422088745,smicle(スマイル),d,ダークガーゴイル,1000,ニャル
,759509102375338004,759509109903982612,smicle(スマイル),d,ダークガーゴイル,1000,
