凸管理シート,,10/26,3凸人数,30,,10/27,3凸人数,30,,10/28,3凸人数,30,,10/29,3凸人数,29,,10/30,3凸人数,30,
クランメンバー一覧,プレイヤーid,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴
Canon,385069644052168715,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,2,3,,1,"3,1"
EnNE4,388955796454506500,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1"
SAMURAI,458652362832084994,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,2
jun,474418827250106371,3,,1,"3,1",3,,1,1 1,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1"
sakadaka,538639387471249409,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1"
smicle(スマイル),420084355105423367,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1"
あお,257537511868465153,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1"
いもちゃ,189264376388255744,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,2
うさまる,652747597739589632,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,2
おあり,324961936292708354,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1"
おのか,658087140642783252,3,,1,2,3,,1,2,3,,1,"3,1",3,,1,2,3,,1,"3,1"
かえで,342555706244857882,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2
さいとう,340675991301128192,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,2
しろはのぱんつ,562247481413468180,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2
たかや@基本フルオート希望,322226212464230400,3,,1,"3,1",3,,1,2,3,,1,2,3,,1,2,3,,1,"3,1"
ぴかち,500590872048697344,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,2
まろ,436517654535340032,3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1",3,,1,2
みお,283219480601952258,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1"
みみな,603834473041362944,3,,1,2,3,,1,2,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1"
りん,703857608053882972,3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1",3,,1,2
アキラ,486045349211799552,3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1"
エーイチ,580724415210323968,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1"
シルバー,646680124837855233,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,2
ジャハド,661543389581279242,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,2
ゼロ(せらの),661558311287652354,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,2
ハヤテ,362435337555017728,3,,1,2,3,,1,2,3,,1,2,2,,,1,3,,1,2
ユッシー,614440140173213707,3,,1,2,3,,1,"3,1",3,,1,2,3,,1,2,3,,1,2
厚着プリンセス下着まざらし,341239349997993984,3,,1,"3,1",3,,1,"3,1",3,,1,2,3,,1,"3,1",3,,1,"3,1"
名無し(りえりー),257882449185472515,3,,1,"3,1",3,,1,2,3,,1,2,3,,1,"3,1",3,,1,"3,1"
抹茶ですよ,551525921660731396,3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1",3,,1,"3,1"
