凸予定シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,プレイヤーid,ボス番号,ボス名,メッセージ
1,770376260249452614,770376263914356736,ゼロ(せらの),661558311287652354,a,ゴブリングレート,ゴブ ワンパン
1,770376320563413022,770376323835101196,ゼロ(せらの),661558311287652354,b,ライライ,ライライ ワンパン
1,770376434442960916,770376437386838117,ゼロ(せらの),661558311287652354,d,オブシダンワイバーン,900~1200
1,770376874936369152,770376878011711519,smicle(スマイル),420084355105423367,a,ゴブリングレート,貫通
1,770376912979361842,770376915919437864,smicle(スマイル),420084355105423367,b,ライライ,貫通
1,770376950803595295,770376953466454025,smicle(スマイル),420084355105423367,d,オブシダンワイバーン,900-
1,770376997074370624,770377000438857808,smicle(スマイル),420084355105423367,e,レサトパルト,1300?
1,770377162707435571,770377166603943987,しろはのぱんつ,562247481413468180,c,オークチーフ,ワンパン
1,770377498508263485,770377501905780736,しろはのぱんつ,562247481413468180,e,レサトパルト,1250
1,770377836812435466,770377839425355838,しろはのぱんつ,562247481413468180,a,ゴブリングレート,貫通
1,770377889819525130,770377892327587921,しろはのぱんつ,562247481413468180,b,ライライ,貫通
1,770383069831757844,770383074432778271,厚着下着まざらし,341239349997993984,e,レサトパルト,500 持ち越し
1,770390619847524402,770390624704135229,smicle(スマイル),420084355105423367,e,レサトパルト,持ち越し 1300?
1,770390670538965003,770390674922536981,厚着下着まざらし,341239349997993984,d,オブシダンワイバーン,1300
1,770390724230381628,770390728832450600,厚着下着まざらし,341239349997993984,c,オークチーフ,ワンパン
1,770392363402002433,770392368155197491,うさまる,652747597739589632,d,オブシダンワイバーン,1000
1,770392419690610800,770392454196887592,うさまる,652747597739589632,e,レサトパルト,1000
1,770405150757879818,770405154334834698,厚着下着まざらし,341239349997993984,e,レサトパルト,1200持ち越し
1,770405344371408916,770405349135876106,ゼロ(せらの),661558311287652354,a,ゴブリングレート,ワンパン
1,770405396748697610,770405401383534612,ゼロ(せらの),661558311287652354,b,ライライ,ワンパン行けるかどうか
