凸予定シート,,,,,,,
完了,送信者のメッセージid,キャルのメッセージid,メンバー,プレイヤーid,ボス番号,ボス名,メッセージ
1,780924524224577536,780924526565261332,厚着プリンセス下着冷凍まざらし,341239349997993984,e,サジタリウス,持ち越しワンパン?
1,780924932192075776,780924934477316126,(*^◯^*)ポジ,215772416541065216,d,マスターセンリ,持ち越し ワンパン
1,780937945817153547,780937949264085024,抹茶ですよ,551525921660731396,c,スカイワルキューレ,持ち越しワンパン
1,780942063738290216,780942067823542302,smicle(スマイル),420084355105423367,e,サジタリウス,ワンパン
1,780942820915413012,780942822748454953,うさまる,652747597739589632,e,サジタリウス,わんぱん
1,780942926606893056,780942928926343179,つくよみっ！！,485132079517007873,b,ワイルドグリフォン,わんぱん
1,780946813628710912,780946825526902796,つくよみっ！！,485132079517007873,d,マスターセンリ,わんぱん
1,780949756817309707,780949759204393022,jun,474418827250106371,c,スカイワルキューレ,持越し 790ぐらいになりそうです、。
1,780956067798581268,780956070269026306,smicle(スマイル),420084355105423367,a,ワイバーン,:28 5 1200 必要になったら呼んで下さい
1,780961481616392222,780961484259065918,smicle(スマイル),420084355105423367,e,サジタリウス,1200 ワンパンの人と同時凸希望
1,780961539615490088,780961541750128692,smicle(スマイル),420084355105423367,b,ワイルドグリフォン,4貫通
1,780961556057423893,780961566203314186,smicle(スマイル),420084355105423367,d,マスターセンリ,2貫通
1,780970731722375238,780970734293876738,厚着プリンセス下着冷凍まざらし,341239349997993984,c,スカイワルキューレ,ワンパン(2段階目)
1,780975866742046721,780975869475684353,いもちゃ,189264376388255744,b,ワイルドグリフォン,持ち越しでワンパン
1,780976057380896789,780976060484288514,超絶最強Canon砲,385069644052168715,d,マスターセンリ,持ち越し 再トライ
1,780988733758898236,780988737806663690,つくよみっ！！,485132079517007873,a,ワイバーン,ワンパン
1,780989334928621599,780989349507629066,つくよみっ！！,485132079517007873,c,スカイワルキューレ,ワンパン
1,780993228337709106,780993230773682207,そうくん,527450451411599403,a,ワイバーン,‐5 貫通
1,780997289904046091,780997293037322281,そうくん,527450451411599403,c,スカイワルキューレ,3 貫通
1,781012171047305236,781012173765738539,ジャハド,661543389581279242,b,ワイルドグリフォン,持ち越しで4(予定)
1,781014746241040404,781014748816080937,ジャハド,661543389581279242,d,マスターセンリ,持ち越し72sワンパン予定
1,781021812758806548,781021815593631764,ジャハド,661543389581279242,e,サジタリウス,持ち越しワンパン予定
1,781035713646428211,781035719157219329,EnNE4,388955796454506500,c,スカイワルキューレ,持ち越しワンパン
1,781036768715735070,781036771608756274,(*^◯^*)ポジ,215772416541065216,c,スカイワルキューレ,持越しワンパン
1,781039288308858903,781039291685273630,まろ,436517654535340032,e,サジタリウス,ワンパン(持ちで1ワンパン) ニャル
1,781057110389424128,781057113371443220,ジャハド,661543389581279242,e,サジタリウス,物理ワンパンしたい(どなたか待機お願いします)
1,781064549675302923,781064552434761748,そうくん,527450451411599403,c,スカイワルキューレ,持ち越しワンパン
1,781103655327105066,781103658006740992,たかや@基本フルオート希望,322226212464230400,a,ワイバーン,ワンパン 2通し
1,781104041743876116,781104044474892308,うりころ,241564140819185664,d,マスターセンリ,フル持越し ワンパン
1,781113995033444352,781113997658947605,(*^◯^*)ポジ,215772416541065216,e,サジタリウス,フル持ち越し 1100~1200
1,781114361149784114,781114364052111381,さいとう,340675991301128192,e,サジタリウス,ニャル1600~ワンパン
1,781114533333827585,781114557895802911,さいとう,340675991301128192,c,スカイワルキューレ,ニャル(本戦模擬用不安定
1,781114949011111989,781114952169684993,さいとう,340675991301128192,d,マスターセンリ,物理ワンパン
1,781116090553204776,781116092759539733,たかや@基本フルオート希望,322226212464230400,e,サジタリウス,魔法 1080前後
1,781116339858440232,781116341947990027,つくよみっ！！,485132079517007873,c,スカイワルキューレ,物理 ワンパン
1,781117349373018113,781117352212299777,みみな(プリンセス),603834473041362944,d,マスターセンリ,ワンパン
1,781118849591934976,781118852854448128,ゆうちゃこ,453557021288169481,a,ワイバーン,-2貫通
1,781121977007341598,781121979771387904,ツナ,750706130774392852,e,サジタリウス,ふるもちにゃる 1500前後
1,781122655939985448,781122658925543444,そうくん,527450451411599403,a,ワイバーン,2 貫通
1,781125612760072192,781125615314534420,たまちゃん,425937517259259906,e,サジタリウス,魔法 1600前後
1,781132772903354399,781132775851294760,EnNE4,388955796454506500,a,ワイバーン,2貫通
1,781133047776935946,781133050636402756,EnNE4,388955796454506500,d,マスターセンリ,1400
1,781133831997882448,781133834648289281,たかや@基本フルオート希望,322226212464230400,e,サジタリウス,1200(4 1050)
1,781134020800544800,781134023249625089,さいとう,340675991301128192,c,スカイワルキューレ,もちこしワンパン
1,781134504097611807,781134507091820596,うりころ,241564140819185664,c,スカイワルキューレ,1200~ワンパン ワンパン率低
1,781134686394777652,781134689817722880,EnNE4,388955796454506500,e,サジタリウス,1100
1,781136518013386823,781136520898805810,みみな(プリンセス),603834473041362944,c,スカイワルキューレ,持ち越し 300万
1,781136563098222602,781136565169684551,みみな(プリンセス),603834473041362944,d,マスターセンリ,持ち越し 300万
1,781138500002381835,781138531585097728,たかや@基本フルオート希望,322226212464230400,e,サジタリウス,持ち越し 1100
1,781138846460280834,781138848972668980,がんすけ,614481066928898124,c,スカイワルキューレ,1300 ワンパン
1,781142412683640844,781142415653732364,sakadaka,538639387471249409,d,マスターセンリ,1200
1,781142619069612042,781142621938384918,ツナ,750706130774392852,d,マスターセンリ,ワンパン確率70%
1,781144568934432808,781144571576713266,たまちゃん,425937517259259906,e,サジタリウス,1600 魔法
1,781145203335626813,781145216823853137,うさまる,652747597739589632,e,サジタリウス,1100(端数後)
1,781146939324366878,781146942334828544,sakadaka,538639387471249409,d,マスターセンリ,フル持ち越し 1200-1300
1,781148560070148137,781148562553438219,りん,703857608053882972,a,ワイバーン,2貫通
1,781148597633941555,781148599722704937,うさまる,652747597739589632,d,マスターセンリ,持ち越し1000
1,781148678088818689,781148680945401876,りん,703857608053882972,d,マスターセンリ,ワンパン 12貫通と同編成
1,781148759840784404,781148774197100554,りん,703857608053882972,c,スカイワルキューレ,1000万 魔法
1,781149728254722078,781149730704719912,たまちゃん,425937517259259906,e,サジタリウス,1600- 魔法
1,781150082883518504,781150085866061834,ゆうちゃこ,453557021288169481,c,スカイワルキューレ,ニャルワンパン
1,781150416074309672,781150418649743401,りん,703857608053882972,e,サジタリウス,ニャルワンパン
1,781151031630626836,781151034386939924,夏みかん,366936884334690304,d,マスターセンリ,1200
1,781151094084075521,781151096550850590,夏みかん,366936884334690304,c,スカイワルキューレ,800
1,781151695182102588,781151697422516274,EnNE4,388955796454506500,d,マスターセンリ,400 もち
1,781151725746782219,781151727810248725,EnNE4,388955796454506500,e,サジタリウス,200もち
1,781155082099359775,781155084590514197,さいとう,340675991301128192,d,マスターセンリ,ワンパン物理持ち越し
1,781156340826898473,781156343884808242,うりころ,241564140819185664,a,ワイバーン,2貫通
1,781156820991344683,781156824132878356,超絶最強Canon砲,385069644052168715,d,マスターセンリ,もちこしワンパンチャレ
1,781158445620789249,781158452243333160,超絶最強Canon砲,385069644052168715,c,スカイワルキューレ,ち越し後3 ニャルワンパン
1,781159056236347442,781159058899468298,sakadaka,538639387471249409,e,サジタリウス,フル持魔法
1,781159478706831361,781159482226638858,夏みかん,366936884334690304,e,サジタリウス,850 魔法
1,781159559363559424,781159561645785109,ツナ,750706130774392852,e,サジタリウス,1000ぐらい(詰める
1,781162198985736222,781162201524076596,がんすけ,614481066928898124,d,マスターセンリ,物理 ワンパン
1,781163887692611585,781163890742001664,まろ,436517654535340032,c,スカイワルキューレ,フル持ちニャル ワンパン
1,781167424253853705,781167426858647583,がんすけ,614481066928898124,e,サジタリウス,魔法 1200
1,781169432398528603,781169435426816018,さいとう,340675991301128192,e,サジタリウス,ニャルもちこしフル1800~
1,781170395234435094,781170398434689104,夏みかん,366936884334690304,d,マスターセンリ,1200 物理
1,781170852322213928,781170854574292993,ゆうちゃこ,453557021288169481,c,スカイワルキューレ,物理 ワンパン
1,781173171591315508,781173174829187114,sakadaka,538639387471249409,a,ワイバーン,ワンパン
1,781173217464811580,781173219671015445,sakadaka,538639387471249409,b,ワイルドグリフォン,持ち越しワンパン
1,781174403756589077,781174406658523136,エーイチ,580724415210323968,a,ワイバーン,物理2貫通
1,781179108142874694,781179110452887554,名無し(りえりー),257882449185472515,c,スカイワルキューレ,ニャル ワンパン
1,781179136274202644,781179141860229163,名無し(りえりー),257882449185472515,d,マスターセンリ,物理 ワンパン
1,781179211380555836,781179220927315999,名無し(りえりー),257882449185472515,e,サジタリウス,物理 1500↑
1,781181072725245952,781181075606208562,がんすけ,614481066928898124,d,マスターセンリ,物理 ワンパン
1,781181108678033438,781181111350853652,ハヤテ,362435337555017728,a,ワイバーン,ワイバーンワンパン
1,781181206871015505,781181248344555560,ハヤテ,362435337555017728,b,ワイルドグリフォン,1の持ち越しワンパン
1,781182499019554817,781182501493145620,名無し(りえりー),257882449185472515,a,ワイバーン,物理 ワンパン
1,781182927035564043,781182929136517182,エーイチ,580724415210323968,c,スカイワルキューレ,物理ワンパン狙い
1,781182967623581757,781182970055884851,エーイチ,580724415210323968,e,サジタリウス,ニャル1600
1,781193157198086184,781193159769456711,名無し(りえりー),257882449185472515,d,マスターセンリ,持ち越し 物理 200くらい
1,781190945575403520,781190947907829760,まろ,436517654535340032,e,サジタリウス,ニャル 1800~ワンパン
1,781192569324830751,781192572621422672,おあり,324961936292708354,a,ワイバーン,物理 ワンパン
1,781192592636248185,781192600848826379,おあり,324961936292708354,b,ワイルドグリフォン,1の持越しワンパン
1,781192613697028148,781192629382938654,おあり,324961936292708354,c,スカイワルキューレ,ニャル ワンパン
1,781192662212542464,781192664611291186,おあり,324961936292708354,e,サジタリウス,物理 1600万前後
1,781206487816208414,781206490560069672,りん,703857608053882972,c,スカイワルキューレ,700 持ち越し
1,781207598304985108,781207600611196989,ハヤテ,362435337555017728,d,マスターセンリ,1400
1,781207808518914137,781207810528247849,たまちゃん,425937517259259906,d,マスターセンリ,950
1,781210710310387774,781210713170772028,ユッシー,614440140173213707,a,ワイバーン,ワンパン
