クラバト情報シート,,,,,,,,,,,,,,
クランメンバー一覧,プレイヤーid,活動限界,,日数,日付,凸管理の列番号,,番号,英語,ボス名,,周回数,現在のボス,ボス番号
jun,474418827250106371,,,1日目,05/26,C,,1,a,ワイバーン,,58,スピリットホーン,d
lilium,815958403850829864,0時,,2日目,05/27,G,,2,b,ランドスロース,,,,
smicle(スマイル),420084355105423367,,,3日目,05/28,K,,3,c,オークチーフ,,,,
tatamixxx,412423063267704854,0時,,4日目,05/29,O,,4,d,スピリットホーン,,,,
うどんよりそば派です,257388654127742977,1時,,5日目,05/30,S,,5,e,ツインピッグス,,,,
おのか,658087140642783252,,,練習日,00/00,W,,,,,,,,
ぎゃん,727496325373100083,,,,,,,,,,,,,
ささかま,583994121258008595,1時,,,,,,,,,,,,
たかや@19～22時がメイン,322226212464230400,23時,,,,,,,,,,,,
つくよみっ！！,485132079517007873,,,,,,,,,,,,,
ねる,407503061578153984,2時,,,,,,,,,,,,
ぴーやそ,474883104847167488,,,,,,,,,,,,,
まざらし,341239349997993984,,,,,,,,,,,,,
まろ,436517654535340032,0時,,,,,,,,,,,,
めぐぎぎ,333013319466221578,2時,,,,,,,,,,,,
もちゃ,527115154450677775,0時,,,,,,,,,,,,
やは〜♡雛菜、きゃるすき〜,777050995200884737,,,,,,,,,,,,,
エタノール,610443737092587520,,,,,,,,,,,,,
カニ愛好家,623547418092371969,,,,,,,,,,,,,
サカダカ,538639387471249409,2時,,,,,,,,,,,,
シャケ,579329761948598273,2時,,,,,,,,,,,,
トウヤ,341183197939367946,,,,,,,,,,,,,
ハヤテ,362435337555017728,,,,,,,,,,,,,
プレミのツナ,750706130774392852,,,,,,,,,,,,,
ユッシー,614440140173213707,,,,,,,,,,,,,
名無し(りえりー)(本物),257882449185472515,4時,,,,,,,,,,,,
斜里町民shari,381415352690671617,2時,,,,,,,,,,,,
カツ丼ですよ,551525921660731396,,,,,,,,,,,,,
うさまるですよ,652747597739589632,21時,,,,,,,,,,,,
｡+°👑さとりんご🍎°+｡,415889510665027595,2時,,,,,,,,,,,,
合計人数,30人,,,,,,,,,,,,,
