凸管理シート,,05/26,3凸人数,30,,05/27,3凸人数,28,,05/28,3凸人数,30,,05/29,3凸人数,30,,05/30,3凸人数,30,,練習日,3凸人数,0,
クランメンバー一覧,プレイヤーid,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴
jun,474418827250106371,3,,1,3+,3,,1,2,3,,1,1,3,,1,2,3,,1,2,,,,
lilium,815958403850829864,3,,1,2,3,,1,b,3,,1,3+,3,,1,2,3,,1,2,,,,
smicle(スマイル),420084355105423367,3,,1,3+,3,,1,c,3,,1,3+,3,,1,3+,3,,1,3+,,,,
tatamixxx,412423063267704854,3,,1,3+,3,,1,d,3,,1,2,3,,1,2,3,,1,3+,,,,
うどんよりそば派です,257388654127742977,3,,1,3+,3,,1,2,3,,1,2,3,,1,2,3,,1,2,,,,
おのか,658087140642783252,3,,1,3+,3,,1,2,3,,1,2,3,,1,2,3,,1,2,,,,
ぎゃん,727496325373100083,3,,1,3+,3,,1,,3,,1,2,3,,1,3+,3,,1,2,,,,
ささかま,583994121258008595,3,,1,3+,3,,1,,3,,1,2,3,,1,2,3,,1,2,,,,
たかや@19～22時がメイン,322226212464230400,3,,1,3+,3,,1,,3,,1,2,3,,1,2,3,,1,2,,,,
つくよみっ！！,485132079517007873,3,,1,3+,3,,1,,3,,1,3+,3,,1,2,3,,1,3+,,,,
ねる,407503061578153984,3,,1,3+,3,,1,2,3,,1,2,3,,1,2,3,,1,3+,,,,
ぴーやそ,474883104847167488,3,,1,3+,3,,1,3+,3,,1,3+,3,,1,2,3,,1,2,,,,
まざらし,341239349997993984,3,,1,3+,3,,1,3+,3,,1,3+,3,,1,2,3,,1,3+,,,,
まろ,436517654535340032,3,,1,3+,3,,1,2,3,,1,3+,3,,1,2,3,,1,3+,,,,
めぐぎぎ,333013319466221578,3,,1,3+,3,,1,3+,3,,1,2,3,,1,3+,3,,1,2,,,,
もちゃ,527115154450677775,3,,1,3+,3,,1,2,3,,1,3+,3,,1,2,3,,1,2,,,,
やは〜♡雛菜、きゃるすき〜,777050995200884737,3,,1,3+,3,,1,2,3,,1,2,3,,1,2,3,,1,3+,,,,
エタノール,610443737092587520,3,,1,3+,3,,1,,3,,1,2,3,,1,2,3,,1,3+,,,,
カニ愛好家,623547418092371969,3,,1,3+,3,,1,2,3,,1,2,3,,1,2,3,,1,2,,,,
サカダカ,538639387471249409,3,,1,3+,3,,1,2,3,,1,2,3,,1,2,3,,1,2,,,,
シャケ,579329761948598273,3,,1,3+,3,,1,2,3,,1,3+,3,,1,3+,3,,1,2,,,,
トウヤ,341183197939367946,3,,1,2,3,,1,2,3,,1,3+,3,,1,2,3,,1,3+,,,,
ハヤテ,362435337555017728,3,,1,2,,,,,3,,1,2,3,,1,3+,3,,1,2,,,,
プレミのツナ,750706130774392852,3,,1,3+,3,,1,2,3,,1,2,3,,1,3+,3,,1,2,,,,
ユッシー,614440140173213707,3,,1,3+,3,,1,2,3,,1,2,3,,1,3+,3,,1,3+,,,,
名無し(りえりー)(本物),257882449185472515,3,,1,3+,2,,,2+,3,,1,3+,3,,1,2,3,,1,2,,,,
斜里町民shari,381415352690671617,3,,1,3+,3,,1,,3,,1,3+,3,,1,2,3,,1,2,,,,
カツ丼ですよ,551525921660731396,3,,1,3+,3,,1,2,3,,1,2,3,,1,3+,3,,1,3+,,,,
うさまるですよ,652747597739589632,3,,1,2,3,,1,,3,,1,2,3,,1,2,3,,1,2,,,,
｡+°👑さとりんご🍎°+｡,415889510665027595,3,,1,2+,3,,1,3+,3,,1,3+,3,,1,2,3,,1,3+,,,,
