クラバト情報シート,,,,,,,,,,,,,,,,,,,,,
クランメンバー一覧,プレイヤーid,活動限界,,日数,日付,凸管理の列番号,,番号,英語,ボス名,,周回数,1ボス,2ボス,3ボス,4ボス,5ボス,,周回数,現在のボス,ボス番号
jun,474418827250106371,,,1日目,07/26,C,,1,a,ゴブリングレート,,58,59,58,58,59,59,,1,ゴブリングレート,a
lilium,815958403850829864,,,2日目,07/27,G,,2,b,ワイルドグリフォン,,HP,3821,6696,9500,4275,6559,,,,
saika,390760070566379531,,,3日目,07/28,K,,3,c,バジリスク,,,,,,,,,,,
tami,773034445137641472,,,4日目,07/29,O,,4,d,ムーバ,,,,,,,,,,,
ねむねむにゃんこ,603834473041362944,,,5日目,07/30,S,,5,e,オルレオン,,,,,,,,,,,
†堕天使燐†りん,703857608053882972,,,練習日,00/00,W,,,,,,,,,,,,,,,
うさギガス,652747597739589632,,,,,,,,,,,,,,,,,,,,
†蕎麦の海老天使†そば,257388654127742977,1時,,,,,,,,,,,,,,,,,,,
かど,451797473254440960,23時,,,,,,,,,,,,,,,,,,,
ささかま,583994121258008595,0時,,,,,,,,,,,,,,,,,,,
さんれぼ,794691686772637737,,,,,,,,,,,,,,,,,,,,
たかや@19～22時がメイン,322226212464230400,,,,,,,,,,,,,,,,,,,,
つくよみっ！！,485132079517007873,,,,,,,,,,,,,,,,,,,,
ままらし,341239349997993984,2時,,,,,,,,,,,,,,,,,,,
めぐぎぎ,333013319466221578,2時,,,,,,,,,,,,,,,,,,,
もちゃ,527115154450677775,,,,,,,,,,,,,,,,,,,,
カニ愛好家,623547418092371969,2時,,,,,,,,,,,,,,,,,,,
ケンタウル,210465964159008771,,,,,,,,,,,,,,,,,,,,
サカダカ,538639387471249409,2時,,,,,,,,,,,,,,,,,,,
シャケ,579329761948598273,2時,,,,,,,,,,,,,,,,,,,
さいとう,340675991301128192,,,,,,,,,,,,,,,,,,,,
SAMURAI,458652362832084994,,,,,,,,,,,,,,,,,,,,
ヤヤ/どどいつ,325252104698724353,,,,,,,,,,,,,,,,,,,,
ツナちゃん,750706130774392852,,,,,,,,,,,,,,,,,,,,
トウヤ@ゆかり王国帰省中,341183197939367946,,,,,,,,,,,,,,,,,,,,
名無し(高橋李依です。),257882449185472515,4時,,,,,,,,,,,,,,,,,,,
抹茶ですよ,551525921660731396,0時,,,,,,,,,,,,,,,,,,,
まろ,436517654535340032,0時,,,,,,,,,,,,,,,,,,,
smicle(スマイル),420084355105423367,,,,,,,,,,,,,,,,,,,,
｡+°👑さとりんご🍎°+｡,415889510665027595,0時,,,,,,,,,,,,,,,,,,,
合計人数,30人,,,,,,,,,,,,,,,,,,,,
