凸管理シート,,07/26,3凸人数,0,,07/27,3凸人数,0,,07/28,3凸人数,0,,07/29,3凸人数,0,,07/30,3凸人数,0,,練習日,3凸人数,0,
クランメンバー一覧,プレイヤーid,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴,凸数,持ち越し,3凸終了,履歴
jun,474418827250106371,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,0+,,,TRUE,1,3,,,
lilium,815958403850829864,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,0+,,,TRUE,0+,3,,,
saika,390760070566379531,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,3,,,
tami,773034445137641472,,1,,1,,,TRUE,12 31,,,TRUE,1,,,TRUE,1,,,TRUE,0+,3,,,
ねむねむにゃんこ,603834473041362944,,,TRUE,0+,,,TRUE,1,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,3,,,
†堕天使燐†りん,703857608053882972,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,0+,,,TRUE,1,3,,,
うさギガス,652747597739589632,,1,,1,,,TRUE,1,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,3,,,
†蕎麦の海老天使†そば,257388654127742977,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,0+,3,,,
かど,451797473254440960,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,0+,3,,,
ささかま,583994121258008595,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,3,,,
さんれぼ,794691686772637737,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,1,3,,,
たかや@19～22時がメイン,322226212464230400,,,TRUE,0+,,,TRUE,1,,,TRUE,0+,,,TRUE,1,,,TRUE,0+,3,,,
つくよみっ！！,485132079517007873,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,,,TRUE,0+,,,TRUE,0+,3,,,
ままらし,341239349997993984,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,3,,,
めぐぎぎ,333013319466221578,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,0+,,,TRUE,1,3,,,
もちゃ,527115154450677775,,,TRUE,0+,,,TRUE,1,,,TRUE,0+,,,TRUE,1,,,TRUE,0+,3,,,
カニ愛好家,623547418092371969,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,,,TRUE,1,3,,,
ケンタウル,210465964159008771,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,1,3,,,
サカダカ,538639387471249409,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,,,TRUE,0+,,,TRUE,1,3,,,
シャケ,579329761948598273,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,0+,,,TRUE,1,3,,,
さいとう,340675991301128192,,1,,0++,,,TRUE,1,,,TRUE,0+,,,TRUE,1,,,TRUE,1,3,,,
SAMURAI,458652362832084994,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,1,3,,,
ヤヤ/どどいつ,325252104698724353,,,TRUE,0+,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,,,TRUE,0+,3,,,
ツナちゃん,750706130774392852,1,,,1+,,,TRUE,1,,,TRUE,0+,,,TRUE,1,,,TRUE,0+,3,,,
トウヤ@ゆかり王国帰省中,341183197939367946,,1,,1,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,,,TRUE,0+,3,,,
名無し(高橋李依です。),257882449185472515,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,1,,,TRUE,0+,3,,,
抹茶ですよ,551525921660731396,,1,,1,,,TRUE,1,,,TRUE,1,,,TRUE,0+,,,TRUE,0+,3,,,
まろ,436517654535340032,,,TRUE,0+,,,TRUE,0+,,,TRUE,1,,,TRUE,1,,,TRUE,0+,3,,,
smicle(スマイル),420084355105423367,,,TRUE,2,,,TRUE,0+,,,TRUE,0+,,,TRUE,2,,,TRUE,1,3,,,
｡+°👑さとりんご🍎°+｡,415889510665027595,,,TRUE,0+,,,TRUE,1,,,TRUE,0+,,1,,1,,,TRUE,1,3,,,
